Property Name,Price,Beds,Baths,Sqft,Home Type,URL of Property,Combined List of Amenities and List of Features
"VILLA FOR SALE IN SPRINGS 1, THE SPRINGS","3,199,999 AED",2,3,"1,794 sqft / 167 sqm",Villa,https://www.propertyfinder.ae/to/11452611/en,"['Near Pool', 'Type 4E', 'Springs 1', 'EXCLUSIVE', 'Balcony', 'Private Garden', 'Rare Option', '2 Beds & Study', 'Single Row', '1,794 Sq. Ft. BUA', '2,691 Sq. Ft. Plot', 'Opposite Pool & Park', 'Walk to Meadows Souk Mall', 'Living room', 'Kitchen', 'Downstairs guest bathroom', 'Study area', 'Two en-suite bedrooms with balconies', 'Fitted wardrobes in the master bedroom', 'Private rear garden', 'Covered parking for two cars']"
"VILLA FOR SALE IN SPRINGS 4, THE SPRINGS","3,350,000 AED",2,3,"1,690 sqft / 157 sqm",Villa,https://www.propertyfinder.ae/to/11452599/en,"['Close to Pool & Park', 'Upgraded', 'Vacant']"
"VILLA FOR SALE IN SIDRA VILLAS I, SIDRA VILLAS","7,900,000 AED",4,3,"3,237 sqft / 301 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-sidra-villas-sidra-villas-i.html,"['Maids Room', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'View of Landmark']"
Legacy Nova Villas,"6,800,000 AED",4,4,"4,157 sqft",Villa,https://www.propertyfinder.ae/to/11494831/en,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Pets Allowed', 'Single Row', 'Private Garden', 'Away from Cables and Roads', 'Well Maintained', 'Quiet Location', 'Open Plan Living', 'Floor To Ceiling Windows']"
"VILLA FOR SALE IN SAHEEL, ARABIAN RANCHES","7,550,000 AED",4 Bedrooms + Maid,4 Bathrooms,"3,216 sqft / 299 sqm",Villa,https://www.propertyfinder.ae/to/11673589/en,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Private Gym', 'Private Jacuzzi', 'Shared Pool', 'Security', 'Maid Service', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'Shared Gym', ""Children's Pool"", 'Barbecue Area']"
"Villa for Sale in Orange Lake, Jumeirah Golf Estates","11,500,000 AED",5,6,"8,471 sqft",Villa,https://www.propertyfinder.ae/en/property-for-sale/dubai/jumeirah-golf-estates-fire-orange-lake-11532712.html,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Walk-in Closet', 'Elevator', 'View of Water', 'Elevated Lake View', 'Large 5 BR Villa', 'VOT']"
Bliss,"3,850,000 AED",4,5,"1,836 sqft / 171 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-arabian-ranches-3-bliss.html,"['Central A/C', 'Balcony', 'Shared Pool', 'Security', 'Concierge', 'Covered Parking', 'Shared Gym', ""Children's Play Area"", 'Big Plot', 'On Park', 'G +1', 'Corner Unit', 'Swimming Pool', 'Gardens and Parks', 'Kids Play Area', 'BBQ Area', 'Sports Facilities', 'Shopping Malls', 'Retail Outlets', 'Cafes and Restaurants', 'Located at Arabian Ranches 3, Dubai', 'Easy accessibility and mobility to the rest of the city', 'Modern design townhouses with modern amenities and features', 'Water streams across sikkas and multiple fountain plazas', 'First-ever waterfront destination at Arabian Ranches 3', 'Connectivity: 5 minutes - Global Village, 10 minutes - Dubai Polo & Equestrian Club, 20 minutes - Downtown Dubai, 20 minutes - Dubai International Airport, 35 minutes - Dubai Marina, 35 minutes - The Dubai Mall, 35 minutes - Al Maktoum International Airport']"
"VILLA FOR SALE IN SIDRA VILLAS I, SIDRA VILLAS","8,700,000 AED",4,4,"3,456 sqft / 321 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-sidra-villas-sidra-villas-i.html,"['Maids Room', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Exclusive', 'Motivated Seller', 'VOT']"
"VILLA FOR SALE IN PARKSIDE 1, EMAAR SOUTH","2,100,000 AED",3,3,"1,751 sqft / 163 sqm",Villa,https://www.propertyfinder.ae/to/11674722/en,"['Maids Room', 'Central A/C', 'Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'Pets Allowed', 'Shared Gym', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area', ""Maid's room"", 'BUA: Approximately 1751 sqft', 'Plot: Approximately 1506 sqft', 'Back to Back', 'Investor Deal', 'Motivated Seller', 'Tenanted']"
Four Bedroom Bungalow | Landscaped Garden,"4,950,000 AED",4,4,"4,347 sqft / 404 sqm",Villa,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-green-community-green-community-west-bungalows-area-11588310.html,"['Private Garden', 'View of Landmark', 'Immaculate Condition', 'Cul de sac location', 'Upgraded Kitchen', 'External Maids']"
"VILLA FOR SALE IN SIDRA VILLAS III, SIDRA VILLAS","9,500,000 AED",4,4,"3,533 sqft / 328 sqm",Villa,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-dubai-hills-estate-sidra-villas-sidra-villas-iii-11618219.html,"['Large Plot', 'Single Row', 'Great Location', 'Maids Room', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'View of Landmark']"
"VILLA FOR SALE IN ENTERTAINMENT FOYER, ISLAMIC CLUSTERS","28,000,000 AED",4,5,"5,834 sqft",Villa,https://www.propertyfinder.ae/to/11676925/en,"['Central A/C', 'Balcony', 'Private Pool', 'Security', 'Covered Parking', 'Walk-in Closet', 'Kitchen Appliances', 'View of Water', 'View of Landmark', 'Pets Allowed', 'Fully Upgraded | Ready Now | Lake Views', 'Italian equipped kitchen with Miele appliances', 'Front kitchen and dirty kitchen', 'Breathtaking views of the lake and park', 'Fireplace', 'Sunken area', 'Laundry room', ""Maid's room"", 'Built-in wardrobes', 'Fully Furnished', 'Fully Renovated And Extended', 'Vacant']"
"VILLA FOR SALE IN THE MANSIONS, JUMEIRAH ISLANDS","28,000,000 AED",5,5,"8,452 sqft / 785 sqm",Villa,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-jumeirah-islands-the-mansions-11690196.html,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'View of Water', 'Pets Allowed', ""Children's Play Area""]"
"VILLA FOR SALE IN COSTA BRAVA 1, COSTA BRAVA AT DAMAC LAGOONS","3,350,000 AED",5,5,"2,108 sqft / 196 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-damac-lagoons-costa-brava-at-damac-lagoons-costa-brava-1.html,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Private Gym', 'Private Jacuzzi', 'Shared Pool', 'Shared Spa', 'Security', 'Concierge', 'Maid Service', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'View of Water', 'View of Landmark', 'Pets Allowed', 'Shared Gym', 'Lobby in Building', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area', 'Vastu-compliant']"
"VILLA FOR SALE IN THE SUNDIALS, EARTH","17,450,000 AED",5,6,"7,600 sqft / 706 sqm",Villa,https://www.propertyfinder.ae/to/11415125/en,"['Upgraded', 'Golf Course Views', 'Corner Plot', 'Maids Room', 'Study', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Basement Level', 'Cul De Sac Location']"
"VILLA FOR SALE IN FAMILY VILLAS, GREEN COMMUNITY WEST","6,800,000 AED",5,6,"6,210 sqft / 577 sqm",Villa,https://www.propertyfinder.ae/to/11285471/en,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Shared Gym']"
"VILLA FOR SALE IN ALAYA, TILAL AL GHAF","10,000,000 AED",4,5,"6,496 sqft / 603 sqm",Villa,https://www.propertyfinder.ae/plp/_next/image?url=https%3A%2F%2Fwww.propertyfinder.ae%2Fimages%2Fpf_agent%2Fpicture%2F515249f0d096dfdff2a748290eeb301b6b656e6c%2Fdesktop&w=480&q=75,"['Luxury', 'Contemporary', 'Spacious', 'Re-Sale']"
"VILLA FOR SALE IN SECTOR E, EMIRATES HILLS","49,000,000 AED",6,7,"15,000 sqft / 1,394 sqm",Villa,https://www.propertyfinder.ae/to/11718849/en,"['Maids Room', 'Balcony', 'Private Gym', 'Kitchen Appliances', 'View of Water', ""Children's Play Area"", 'Barbecue Area', 'Lake Mansion', 'Incredible Garden', 'Luxury Basement', 'Beautiful Lake views', 'Spacious Open Plan Living & Dining Area', 'En-suite Bathrooms', 'Walk-in Wardrobes', 'Stunning Infinity Swimming Pool', 'Landscaped Garden', 'Indoor Parking', 'Huge Basement with Natural lighting', 'Lush Greenery & Nature', 'Adjacent to Fairways of Address Montgomery Golf course', 'Near International School, Shopping Mall & Nursery', 'Close to Palm Jumeirah & The Marina']"
"VILLA FOR SALE IN PORTOFINO, DAMAC LAGOONS","3,999,999 AED",5,5,"3,355 sqft / 312 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villa-for-sale-damac-lagoons-portofino,"['Single Row', 'Corner Unit', 'Unique Larger Plot', 'Malibu beach', 'Community centre', ""Kids' play area"", 'Barbeque area', 'Gym and jacuzzi', 'Swimming pool', 'Restaurants', 'Jogging and cycling tracks', 'Football & basketball courts', 'Tennis and cricket courts']"
"VILLA FOR SALE IN MUDON AL RANIM 1, MUDON","2,700,000 AED",3,4,"2,217 sqft / 206 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-mudon-mudon-al-ranim-1.html,"['Maids Room', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Shared Gym', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area']"
"VILLA FOR SALE IN MAPLE 2, MAPLE AT DUBAI HILLS ESTATE","5,200,000 AED",4,4,"2,462 sqft / 229 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-maple-at-dubai-hills-estate-maple-2.html,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Built in Wardrobes', 'Walk-in Closet', 'Pets Allowed', 'Shared Gym', 'Private garage', 'Childrens play area', 'Public transport', 'Public park', 'Security', 'Shopping mall', 'Tennis courts', 'Mosque', 'Maid Service']"
"VILLA FOR SALE IN PARKSIDE 2, EMAAR SOUTH","2,200,000 AED",3,4,"1,945 sqft / 181 sqm",Villa,https://www.propertyfinder.ae/to/11677562/en,"['Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'View of Landmark', 'Pets Allowed', 'Shared Gym', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area', 'Vastu-compliant']"
"VILLA FOR SALE IN NAD AL SHEBA GARDENS, NAD AL SHEBA 1","13,000,000 AED",6,7,"6,500 sqft / 604 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-nad-al-sheba-nad-al-sheba-1.html,"['Luxury Finishing', 'Private Pool', 'Investor Deal', 'Maids Room', 'Central A/C', 'Balcony', 'Covered Parking', 'Built in Wardrobes', ""Children's Play Area"", 'Modern Kitchen', 'Spacious living area', 'Elevator', 'Laundry Room', 'Private Parking space', 'Private Garden', 'Full Smart System', 'Yoga Lawn', 'Running Tracks', 'Sports Facilities', 'Kids Playing Areas', 'Events Lawn', 'Amphitheatre', 'Schools', 'Dog Park', 'Community Farms']"
Harmony,"8,999,999 AED",5,5,"4,477 sqft / 416 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-tilal-al-ghaf-harmony.html,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Built in Wardrobes']"
"VILLA FOR SALE IN ELIE SAAB, ARABIAN RANCHES 3","5,700,000 AED",4,5,"5,055 sqft / 470 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-arabian-ranches-3-elie-saab.html,"['Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'View of Water', 'Shared Gym', ""Children's Play Area"", 'Ultra-luxury | Prime Location | Motivated Seller', 'Stand Alone Villa', 'Luxury amenities']"
"VILLA FOR SALE IN CHORISIA 1 VILLAS, AL BARARI","15,750,000 AED",4,5,"6,630 sqft",Villa,https://www.propertyfinder.ae/to/11715892/en,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Concierge', 'Built in Wardrobes', 'View of Water', 'Pets Allowed', ""Children's Play Area"", 'Full Floor Master Suite', 'Lake Views', 'VOT']"
Parkway Vistas,"34,000,000 AED",5,6,"10,776 sqft",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-parkway-vistas.html,"{'Amenities': ['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Pool', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances'], 'Features': ['Vacant', 'Standalone Villa', 'Bathrooms: 6', 'Built-up Area: 10776 sqft', 'Furnished: No', 'Balcony', 'Central air conditioning', 'Private swimming pool', 'Kitchen Appliances', 'Built in wardrobes', 'Covered parking', 'Study', 'Walk-in Closet', 'Solid wood floors', 'Private garage', 'Maids room', 'BBQ area', 'Upgraded interior', 'Public park', 'Childrens play area']}"
"VILLA FOR SALE IN LEGACY, JUMEIRAH PARK","5,399,995 AED",3,4,"3,572 sqft / 332 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-jumeirah-park-legacy.html,"['Maids Room', 'Balcony', 'Private Garden', 'Built in Wardrobes', 'Kitchen Appliances', 'Single Row', 'Plot: Just Under 5,700 Sq Ft', 'Private & Secluded', 'Upstairs Kitchen Area', 'Vacant Now', 'Well Maintained', 'Master Bedroom With En-Suite & Private Terrace', '2 Extra Bedrooms With En Suite', '4 Bathrooms', 'Mosque, Schools, Parks Within the Community']"
"VILLA FOR SALE IN ENTERTAINMENT FOYER, EUROPEAN CLUSTERS","26,999,995 AED",5,5,"10,536 sqft / 979 sqm",Villa,https://www.propertyfinder.ae/to/11466523/en,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'View of Water', 'Pets Allowed', 'Shared Gym', ""Children's Play Area"", 'Barbecue Area', 'Brand New', 'Ultra Luxury', 'Lake View']"
"VILLA FOR SALE IN CLUB VILLAS AT DUBAI HILLS, DUBAI HILLS ESTATE","9,500,000 AED",3,4,"2,894 sqft / 269 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-club-villas-at-dubai-hills.html,"['Central A/C', 'Balcony', 'Private Pool', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'View of Landmark', 'Park View', 'Private Pool', 'Roof Terrace', 'Large living/dining room', '2 car parking spaces', 'Unfurnished', 'Vacant on transfer', 'Beautiful park view from glazed windows', 'Good investment opportunity', 'Close to park', 'Lush fairways nestled between green expanses', 'Children’s play areas', 'Walking trails', 'Cycling and jogging tracks', 'Security & Concierge Services', 'Near to Mosques, Supermarkets, Schools, and Healthcare', 'Exudes an air of sophistication paired with many facilities and an ideal location for families']"
"VILLA FOR SALE IN DEEMA 3, DEEMA","8,600,000 AED",4,3,"4,019 sqft / 373 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-the-lakes-deema-deema-3.html,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Type 2', 'Well Maintained', 'Pool and Park View', 'Vastu', '2 Parking spaces', 'Owner Occupied']"
"VILLA FOR SALE IN GOLF PLACE 1, GOLF PLACE","20,000,000 AED",4,6,"8,322 sqft / 773 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-golf-place-golf-place-1.html,"['Maids Room', 'Central A/C', 'Private Garden', 'Private Pool', 'Private Gym', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'Pets Allowed', 'Shared Gym', ""Children's Pool"", 'Barbecue Area', 'Study Room', 'Large living/dining room', 'Spacious open-plan layout', '2 Covered Parking Spaces', 'Private Garden with amazing view', 'Vibrant neighborhood nestled within lush greenery and winding pathways', 'Access to amenities such as central park, diverse dining options at the Club House, entertainment venues, esteemed schools, and Dubai Hills Mall']"
"VILLA FOR SALE IN MAG EYE, DISTRICT 7","2,350,000 AED",2,3,"1,186 sqft / 110 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-mohammed-bin-rashid-city-district-7-mag-eye.html,"['Ready to Move', 'Modern Urban', 'Premium Unit', 'Swimming Pool', 'Retail Outlets', 'State at art Gymnasium', 'Recreational Centres', 'Shopping Mall', 'Schools & Nurseries', 'Gardens & Parks', 'Jogging and cycling tracks', 'Walking routes', 'A running track surrounding the development']"
"VILLA FOR SALE IN THE OASIS - MIRAGE, THE OASIS BY EMAAR","15,850,888 AED",5 Bedrooms + Maid,7 Bathrooms,"10,225 sqft / 950 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-the-oasis-by-emaar-the-oasis-mirage.html,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Covered Parking', 'Built in Wardrobes', ""Children's Play Area"", 'Barbecue Area', ""5 Bedroom + maid's room"", 'Built up area - 10,225 sq.ft.', 'Plot area - 10226 sq.ft', 'Bedroom: 5', ""Maid's Room with Ensuite"", 'Walk-in Closet / Wardrobes', 'Powder Room', 'Rooftop Terrace', 'Rooftop Lounge', 'Family Living Room', 'Storage Room', 'Garage', 'Laundry Room']"
"VILLA FOR SALE IN MEADOWS 9, MEADOWS","11,200,000 AED",5,5,"4,100 sqft / 381 sqm",Villa,https://www.propertyfinder.ae/to/11559480/en,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Covered Parking', 'Kitchen Appliances', 'Pets Allowed', 'Brand New', 'Remodelled', 'Completion July 2024', '9 metre swimming pool', 'Outside seating area', '700 sq. ft. of extensions added', 'Brand new waterproofing', 'Natural marble flooring', 'Solid wood stairs', 'Covered gazebo area', 'New MEP and AC units', 'Raised faux ceilings', 'Approx plot 6,310 sq. ft.', '5 bedrooms all with en suite bathrooms', 'Furniture included']"
Luxury Villa | Type 1C | Handover Q4 2025,"9,000,000 AED",5,6,"7,372 sqft / 685 sqm",Villa,https://www.propertyfinder.ae/to/11710297/en,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Kitchen Appliances', 'Pets Allowed', 'Shared Gym', ""Children's Play Area"", 'Large open living and dining area', 'Closed Kitchen', 'Maid Room with Washroom Attached', 'Powder Room', 'Covered Garage for 2 cars', 'Handover Q4 2025', 'Swimming pools and a kidsʼ pool', 'Kidsʼ play area', 'Sports courts', 'Jebel Ali Recreation Club and Club House', 'Large community park', 'Close to The Winchester School', 'Direct access to Sheikh Zayed Road', 'Every home has a garden and low-level fencing, which brings openness and a sense of communal outdoor living', 'Within walking distance to grocery stores, restaurants, and boutiques']"
"VILLA FOR SALE IN BUNGALOWS AREA, GREEN COMMUNITY WEST","4,950,000 AED",4,5,"4,347 sqft / 404 sqm",Villa,https://www.propertyfinder.ae/to/11580243/en,"['Maids Room', 'Central A/C', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', '4 Bedroom All En-suite', 'BUA 4,347 sq.ft', 'Plot 9,269 sq.ft', 'Single Row', 'Cul De Sac Location', 'Established Community', 'Sitting on a spacious plot', 'Closed kitchen', 'Open planning living area with kitchen dining area', 'Vacant upon transfer', 'Finance available through haus & haus partners']"
"VILLA FOR SALE IN FAMILY VILLA AREA, GREEN COMMUNITY EAST","11,758,000 AED",5,5,"6,210 sqft / 577 sqm",Villa,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-green-community-green-community-east-family-villa-area-11667543.html,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Security', 'Covered Parking', 'Fully upgraded and extended', 'Cinema room', 'High end finishing', '5 bedrooms all en-suite', '6,210 sq.ft BUA', '8,360 sq.ft plot approximately', 'Ready to move in']"
"VILLA FOR SALE IN SAHEEL, ARABIAN RANCHES","7,800,000 AED",3,3,"3,324 sqft / 309 sqm",Villa,https://www.propertyfinder.ae/to/11681102/en,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Built in Wardrobes', 'Kitchen Appliances', 'Renovated Type 7', 'Exclusive - Renovated -Type 7 - Great Location', 'Large Living / Dining area', 'Fitted Wardrobes', 'Large plot', 'Private pool', 'Great location']"
Chorisia 2 Villas,"14,500,000 AED",5,5,"6,374 sqft / 592 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-al-barari-chorisia-2-villas.html,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'Kitchen Appliances', 'View of Landmark', 'Pets Allowed', 'Shared Gym', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area']"
"VILLA FOR SALE IN CLUB VILLAS AT DUBAI HILLS, DUBAI HILLS ESTATE","8,200,000 AED",3,3,"2,950 sqft",Villa,https://www.propertyfinder.ae/to/11758775/en,"['Maids Room', 'Balcony', 'Private Garden', 'Concierge', 'Covered Parking', 'Pool and park backing', 'VOT', 'Exclusive']"
"VILLA FOR SALE IN TERRA NOVA, ARABIAN RANCHES","7,800,000 AED",4,5,"4,238 sqft / 394 sqm",Villa,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-arabian-ranches-terra-nova-11646715.html,"['Near Pool & Park', 'Vastu', 'Largest 4 bed', 'Type 10', 'Hacker Kitchen', 'Private Pool with heater/chiller and sundeck', 'Single Row', 'Tenanted until October 2024', 'Two Garage Parking', '24/7 Security', 'Access to Community Pool and Tennis Courts', 'Close to Arabian Ranches 18-Hole Golf Course, Dubai Polo and Equestrian Club']"
"VILLA FOR SALE IN SPRINGS 4, THE SPRINGS","4,900,000 AED",3,3,"2,744 sqft / 255 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-the-springs-springs-4.html,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'View of Water', 'View of Landmark', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area', 'Vastu-compliant']"
"VILLA FOR SALE IN MUROOJ AL FURJAN, AL FURJAN","6,700,000 AED",4,5,"5,584 sqft / 519 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-al-furjan.html,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Kitchen Appliances', 'Pets Allowed', 'Shared Gym', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area', 'Vastu-compliant']"
"VILLA FOR SALE IN GREENVIEW, EMAAR SOUTH","2,200,000 AED",3,4,"1,936 sqft / 180 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-south-dubai-world-central-emaar-south-greenview.html,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Pets Allowed', 'Shared Gym', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area']"
"VILLA FOR SALE IN MIRA 1, MIRA","3,300,000 AED",3,4,"3,243 sqft / 301 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-reem-mira-mira-1.html,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Covered Parking', 'Built in Wardrobes', 'Shared Gym', ""Children's Pool""]"
"VILLA FOR SALE IN WILDFLOWER, EARTH","24,950,000 AED",5 Bedrooms + Maid,7 Bathrooms,"7,689 sqft / 714 sqm",Villa,https://www.propertyfinder.ae/to/11749271/en,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Private Gym', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Pets Allowed', 'Contemporary | Prime Location | High End Finishes', 'Luxury Finishes', 'Earth Golf Course Views', 'Garage for Two Cars', 'Smart Home Technology', 'Entertainers Garden', 'Miele Kitchen Appliances', 'Wood Flooring and Travertine Throughout']"
"VILLA FOR SALE IN SPRINGS 12, THE SPRINGS","3,700,000 AED",2,3,"2,002 sqft / 186 sqm",Villa,https://www.propertyfinder.ae/to/11755630/en,"{'Amenities': ['Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking'], 'Features': ['Fully Upgraded', 'Turn Key', 'Vacant Now', 'Golf Clubhouse', 'Public park', 'Play area', 'Mosque', 'Restaurants']}"
Aura,"5,200,000 AED",4,6,"3,410 sqft / 317 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-tilal-al-ghaf-aura.html,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'Pets Allowed', 'Shared Gym', ""Children's Pool"", ""Children's Play Area"", 'Barbecue Area', 'Closed Kitchen', 'Roof Terrace', 'Kitchen Appliances', 'Spacious Living/Dining Area', 'Gated Community', 'Fitness Centre', 'Crystal Lagoon', 'Beach Club', 'Adults & Kids Swimming Pools', 'Mosque', '100,000sqm Lagoon', '11km Cycle Track', '18km Pedestrian Walking Paths', 'Kids Play Area', 'Parks & Green Spaces', 'Carrefour', 'Pharmacy', 'Cafes & Restaurants']"
"VILLA FOR SALE IN CLUB VILLAS AT DUBAI HILLS, DUBAI HILLS ESTATE","12,200,000 AED",4,5,"3,360 sqft / 312 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-club-villas-at-dubai-hills.html,"['Maids Room', 'Balcony', 'Private Pool', 'Shared Pool', 'Covered Parking', 'Built in Wardrobes', ""Children's Pool"", 'Community Expert', 'Upgraded', 'Must View', 'Sunken Garden', 'Upgraded Kitchen with German Appliances', 'Prime location', 'Roof Terrace', 'Corner Unit', 'Close to Amenities', 'Golf Course View']"
Sidra Villas I,"12,000,000 AED",4,4,"3,800 sqft / 353 sqm",Villa,https://www.propertyfinder.ae/to/11734135/en,"['Community Expert', 'Pool', 'Extended', 'Large Plot', 'Maids Room', 'Balcony', 'Private Pool', 'Shared Pool', 'Covered Parking', 'Built in Wardrobes', 'Shared Gym', 'Type E3 Extended', 'Private Overflow Pool', 'Upgraded Kitchen with German Appliances', 'Partial Green Belt', 'Upgraded Flooring', 'BBQ Area', 'Shutters in Master Bedroom', 'Covered Electric Garage']"
Rasha,"7,500,000 AED",4,5,"4,354 sqft / 404 sqm",Villa,https://www.propertyfinder.ae/en/plp/buy/villa-for-sale-dubai-arabian-ranches-2-rasha-11763726.html,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Built in Wardrobes', 'Shared Gym', 'Community Expert', 'Exclusive', 'Type 2']"
